month,kind,id,thousand_m3_month
2024-06,demand,trans_subdistribuidor,20832
2024-06,export,brasil_ypf_uruguayana,0
2024-06,export,chile_egs,0
2024-06,export,chile_gasandes,163680
2024-06,export,chile_methanex_ypf,0
2024-06,export,chile_norandino,0
2024-06,export,uruguay_gas_link,10884
2024-06,export,uruguay_petrouruguay,205
2024-06,supply,dist_otros,0
2024-06,supply,dist_propios,90025
2024-06,supply,tgn_neuquina,1.04916e+06
2024-06,supply,tgn_noroeste,227408
2024-06,supply,tgn_otros,284381
2024-06,supply,tgs_austral,484474
2024-06,supply,tgs_neuquina,1.89612e+06
2024-06,supply,tgs_otros,0
2024-06,supply,tgs_san_jorge,232883
2024-07,demand,dist_centrales,394290
2024-07,demand,dist_comercial,179100
2024-07,demand,dist_entes_oficiales,78225
2024-07,demand,dist_gnc,176838
2024-07,demand,dist_industria,759650
2024-07,demand,dist_residencial,1.80827e+06
2024-07,demand,dist_subdistribuidor,125087
2024-07,demand,trans_centrales,300343
2024-07,demand,trans_industria,150735
2024-07,demand,trans_rtp,69367
2024-07,demand,trans_subdistribuidor,25923
2024-07,export,brasil_ypf_uruguayana,0
2024-07,export,chile_egs,0
2024-07,export,chile_gasandes,131707
2024-07,export,chile_methanex_ypf,0
2024-07,export,chile_norandino,0
2024-07,export,uruguay_gas_link,9798
2024-07,export,uruguay_petrouruguay,135
2024-07,supply,dist_otros,0
2024-07,supply,dist_propios,96344
2024-07,supply,tgn_neuquina,1.07735e+06
2024-07,supply,tgn_noroeste,238950
2024-07,supply,tgn_otros,350878
2024-07,supply,tgs_austral,496235
2024-07,supply,tgs_neuquina,2.08151e+06
2024-07,supply,tgs_otros,0
2024-07,supply,tgs_san_jorge,237245
2024-08,demand,dist_centrales,417902
2024-08,demand,dist_comercial,159160
2024-08,demand,dist_entes_oficiales,81270
2024-08,demand,dist_gnc,177992
2024-08,demand,dist_industria,715797
2024-08,demand,dist_residencial,1.62735e+06
2024-08,demand,dist_subdistribuidor,107204
2024-08,demand,trans_centrales,373440
2024-08,demand,trans_industria,147931
2024-08,demand,trans_rtp,59740
2024-08,demand,trans_subdistribuidor,23003
2024-08,export,brasil_ypf_uruguayana,0
2024-08,export,chile_egs,0
2024-08,export,chile_gasandes,123663
2024-08,export,chile_methanex_ypf,0
2024-08,export,chile_norandino,0
2024-08,export,uruguay_gas_link,9525
2024-08,export,uruguay_petrouruguay,118
2024-08,supply,dist_otros,0
2024-08,supply,dist_propios,87523
2024-08,supply,tgn_neuquina,1.06207e+06
2024-08,supply,tgn_noroeste,202832
2024-08,supply,tgn_otros,211910
2024-08,supply,tgs_austral,496492
2024-08,supply,tgs_neuquina,2.15781e+06
2024-08,supply,tgs_otros,0
2024-08,supply,tgs_san_jorge,250065
2024-09,demand,dist_centrales,456412
2024-09,demand,dist_comercial,116862
2024-09,demand,dist_entes_oficiales,48439
2024-09,demand,dist_gnc,169418
2024-09,demand,dist_industria,780770
2024-09,demand,dist_residencial,942324
2024-09,demand,dist_subdistribuidor,62452
2024-09,demand,trans_centrales,472250
2024-09,demand,trans_industria,155079
2024-09,demand,trans_rtp,112542
2024-09,demand,trans_subdistribuidor,16671
2024-09,export,brasil_ypf_uruguayana,0
2024-09,export,chile_egs,0
2024-09,export,chile_gasandes,128758
2024-09,export,chile_methanex_ypf,23313
2024-09,export,chile_norandino,0
2024-09,export,uruguay_gas_link,7360
2024-09,export,uruguay_petrouruguay,393
2024-09,supply,dist_otros,0
2024-09,supply,dist_propios,77225
2024-09,supply,tgn_neuquina,957607
2024-09,supply,tgn_noroeste,116497
2024-09,supply,tgn_otros,36717
2024-09,supply,tgs_austral,480458
2024-09,supply,tgs_neuquina,1.98648e+06
2024-09,supply,tgs_otros,0
2024-09,supply,tgs_san_jorge,249287
2024-10,demand,dist_centrales,484364
2024-10,demand,dist_comercial,89463
2024-10,demand,dist_entes_oficiales,28007
2024-10,demand,dist_gnc,178745
2024-10,demand,dist_industria,867181
2024-10,demand,dist_residencial,575224
2024-10,demand,dist_subdistribuidor,39014
2024-10,demand,trans_centrales,574876
2024-10,demand,trans_industria,170120
2024-10,demand,trans_rtp,145458
2024-10,demand,trans_subdistribuidor,11781
2024-10,export,brasil_ypf_uruguayana,0
2024-10,export,chile_egs,30977
2024-10,export,chile_gasandes,109006
2024-10,export,chile_methanex_ypf,29944
2024-10,export,chile_norandino,0
2024-10,export,uruguay_gas_link,6833
2024-10,export,uruguay_petrouruguay,314
2024-10,supply,dist_otros,0
2024-10,supply,dist_propios,55829
2024-10,supply,tgn_neuquina,875457
2024-10,supply,tgn_noroeste,134580
2024-10,supply,tgn_otros,34206
2024-10,supply,tgs_austral,558162
2024-10,supply,tgs_neuquina,1.73977e+06
2024-10,supply,tgs_otros,0
2024-10,supply,tgs_san_jorge,268910
2024-11,demand,dist_centrales,521488
2024-11,demand,dist_comercial,76500
2024-11,demand,dist_entes_oficiales,17410
2024-11,demand,dist_gnc,171126
2024-11,demand,dist_industria,790995
2024-11,demand,dist_residencial,422755
